"work","type","celex","date"
"http://publications.europa.eu/resource/cellar/45a73d86-0915-11e6-b713-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32016R0635",2016-04-22
"http://publications.europa.eu/resource/cellar/a7f0a2ce-4181-11e5-9f5a-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32015R1384",2015-08-10
"http://publications.europa.eu/resource/cellar/00cbc25e-9154-11e2-b5c3-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32013R0246",2013-03-19
"http://publications.europa.eu/resource/cellar/9535b68c-47c6-11e5-9f5a-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32014R0922R(01)",2015-08-21
"http://publications.europa.eu/resource/cellar/aa828a83-bdde-11e6-a237-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32016R2216",2016-12-08
"http://publications.europa.eu/resource/cellar/1b4a1c7b-09e2-11e7-8a35-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32017R0455",2017-03-15
"http://publications.europa.eu/resource/cellar/90613e77-0206-11e6-b713-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32016R0415R(01)",2016-04-14
"http://publications.europa.eu/resource/cellar/d3363a21-9264-11e6-8e27-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32016R1826",2016-10-14
"http://publications.europa.eu/resource/cellar/12f373d3-0565-11e7-8a35-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32017R0393",2016-11-11
"http://publications.europa.eu/resource/cellar/054be185-f941-4689-82c7-cd3622496115","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32011R0491",2011-05-19
"http://publications.europa.eu/resource/cellar/a9bacc5d-e60c-4c30-bca0-3153654bd3c4","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32011R1049",2011-10-20
"http://publications.europa.eu/resource/cellar/d1032a47-4ecb-11e3-ae03-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32013R1156",2013-11-14
"http://publications.europa.eu/resource/cellar/50268e1c-5cca-11e3-914b-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32013R1247",2013-11-28
"http://publications.europa.eu/resource/cellar/91e1ba71-200e-11e7-84e2-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32017R0656",2016-12-19
"http://publications.europa.eu/resource/cellar/c25825b9-59ca-11e4-a0cb-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32014R1117",2014-10-22
"http://publications.europa.eu/resource/cellar/dafee3ff-5355-11e3-8945-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32013R1185",2013-11-21
"http://publications.europa.eu/resource/cellar/461ef7ec-0745-11e4-b75f-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32014R0740",2014-07-08
"http://publications.europa.eu/resource/cellar/a2d91674-e463-11e6-ad7c-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32017R0144",2017-01-26
"http://publications.europa.eu/resource/cellar/fbff6035-1ef0-11e5-a342-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32015R1019",2015-06-29
"http://publications.europa.eu/resource/cellar/02725083-d27c-11e2-9b1a-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32013R0534",2013-06-10
"http://publications.europa.eu/resource/cellar/69ab014a-94fd-11e6-8e27-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32016R1835",2016-10-17
"http://publications.europa.eu/resource/cellar/763a4c67-db8a-11e5-8fea-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32016R0258",2016-02-24
"http://publications.europa.eu/resource/cellar/82b02025-3f7a-11e7-a08e-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32017R0220R(01)",2017-05-23
"http://publications.europa.eu/resource/cellar/f19fe8fb-bed0-11e2-ab01-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32013R0460",2013-05-16
"http://publications.europa.eu/resource/cellar/25f22676-7c00-11e7-b2f2-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32017R1434",2017-08-07
"http://publications.europa.eu/resource/cellar/3620f82f-6be5-11e3-9afb-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32013R1406",2013-12-20
"http://publications.europa.eu/resource/cellar/b0336cc1-33ba-11e2-84d0-01aa75ed71a1","http://publications.europa.eu/resource/authority/resource-type/REG_IMPL","32012R1084",2012-11-19
